epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1136.23,1.36093,1.85741,0.7076,0.87278,0.72876,0.38581,0.47353,0.26622,0.69406,0.36109,0.45547,0.19194,1.54834,2.51352,0.87296,0.96378,0.00146866,0.00146866,0.00146866
54,1157.17,1.2917,1.84494,0.71866,0.90475,0.70292,0.39446,0.46189,0.25256,0.71598,0.37943,0.45634,0.19633,1.61377,2.69236,0.89619,0.98597,0.00145019,0.00145019,0.00145019
55,1178.52,1.35078,1.90801,0.71307,0.88689,0.70292,0.39446,0.46189,0.25256,0.71598,0.37943,0.45634,0.19633,1.61377,2.69236,0.89619,0.98597,0.00143152,0.00143152,0.00143152
56,1199.14,1.36449,1.98134,0.74167,0.90948,0.70292,0.39446,0.46189,0.25256,0.71598,0.37943,0.45634,0.19633,1.61377,2.69236,0.89619,0.98597,0.00141267,0.00141267,0.00141267
57,1218.99,1.33738,1.97011,0.7407,0.90938,0.70292,0.39446,0.46189,0.25256,0.71598,0.37943,0.45634,0.19633,1.61377,2.69236,0.89619,0.98597,0.00139364,0.00139364,0.00139364
58,1239.51,1.32253,1.84587,0.71328,0.89868,0.73371,0.36678,0.44321,0.24707,0.71641,0.35813,0.44434,0.19561,1.6171,2.57064,0.94491,0.98514,0.00137444,0.00137444,0.00137444
59,1261.21,1.40741,1.81027,0.72956,0.89401,0.73371,0.36678,0.44321,0.24707,0.71641,0.35813,0.44434,0.19561,1.6171,2.57064,0.94491,0.98514,0.00135509,0.00135509,0.00135509
60,1281.23,1.3215,1.79216,0.70546,0.92067,0.73371,0.36678,0.44321,0.24707,0.71641,0.35813,0.44434,0.19561,1.6171,2.57064,0.94491,0.98514,0.00133558,0.00133558,0.00133558
61,1301.71,1.38242,1.81643,0.71655,0.88922,0.73371,0.36678,0.44321,0.24707,0.71641,0.35813,0.44434,0.19561,1.6171,2.57064,0.94491,0.98514,0.00131593,0.00131593,0.00131593
62,1321.36,1.28259,1.69622,0.69473,0.8911,0.73732,0.4083,0.46915,0.27481,0.73825,0.39446,0.47709,0.22401,1.49481,2.42681,0.84906,0.9601,0.00129614,0.00129614,0.00129614
63,1340.78,1.27224,1.73764,0.68964,0.90354,0.73732,0.4083,0.46915,0.27481,0.73825,0.39446,0.47709,0.22401,1.49481,2.42681,0.84906,0.9601,0.00127623,0.00127623,0.00127623
64,1362.17,1.32437,1.74814,0.70227,0.89084,0.73732,0.4083,0.46915,0.27481,0.73825,0.39446,0.47709,0.22401,1.49481,2.42681,0.84906,0.9601,0.0012562,0.0012562,0.0012562
65,1382.38,1.26338,1.63104,0.66223,0.90062,0.73732,0.4083,0.46915,0.27481,0.73825,0.39446,0.47709,0.22401,1.49481,2.42681,0.84906,0.9601,0.00123607,0.00123607,0.00123607
66,1403.38,1.42144,1.96657,0.73366,0.91169,0.69934,0.43059,0.48772,0.28138,0.81054,0.38489,0.4847,0.23459,1.47565,2.46149,0.79418,0.94911,0.00121583,0.00121583,0.00121583
67,1424.22,1.4531,2.07314,0.74333,0.90798,0.69934,0.43059,0.48772,0.28138,0.81054,0.38489,0.4847,0.23459,1.47565,2.46149,0.79418,0.94911,0.00119551,0.00119551,0.00119551
68,1445,1.3602,1.81507,0.68858,0.88965,0.69934,0.43059,0.48772,0.28138,0.81054,0.38489,0.4847,0.23459,1.47565,2.46149,0.79418,0.94911,0.0011751,0.0011751,0.0011751
69,1464.78,1.28676,1.6288,0.64492,0.8905,0.69934,0.43059,0.48772,0.28138,0.81054,0.38489,0.4847,0.23459,1.47565,2.46149,0.79418,0.94911,0.00115462,0.00115462,0.00115462
70,1486.56,1.49385,2.10695,0.75515,0.88524,0.7189,0.41522,0.49106,0.28467,0.74102,0.37889,0.46611,0.22582,1.44411,2.45237,0.80372,0.94473,0.00113408,0.00113408,0.00113408
71,1506.79,1.27305,1.7218,0.68643,0.90441,0.7189,0.41522,0.49106,0.28467,0.74102,0.37889,0.46611,0.22582,1.44411,2.45237,0.80372,0.94473,0.00111348,0.00111348,0.00111348
72,1528.01,1.30347,1.71581,0.70813,0.85471,0.7189,0.41522,0.49106,0.28467,0.74102,0.37889,0.46611,0.22582,1.44411,2.45237,0.80372,0.94473,0.00109284,0.00109284,0.00109284
73,1548.07,1.37273,1.8254,0.71201,0.89495,0.7189,0.41522,0.49106,0.28467,0.74102,0.37889,0.46611,0.22582,1.44411,2.45237,0.80372,0.94473,0.00107216,0.00107216,0.00107216
74,1567.95,1.32448,1.7894,0.71121,0.89259,0.76074,0.41696,0.49115,0.29292,0.67865,0.38927,0.46415,0.22275,1.40707,2.3594,0.77195,0.94392,0.00105146,0.00105146,0.00105146
75,1587.87,1.26867,1.62251,0.6809,0.88486,0.76074,0.41696,0.49115,0.29292,0.67865,0.38927,0.46415,0.22275,1.40707,2.3594,0.77195,0.94392,0.00103073,0.00103073,0.00103073
76,1608.66,1.40117,1.87703,0.71568,0.88154,0.76074,0.41696,0.49115,0.29292,0.67865,0.38927,0.46415,0.22275,1.40707,2.3594,0.77195,0.94392,0.00101,0.00101,0.00101
77,1630.1,1.35203,1.67693,0.72739,0.90074,0.76074,0.41696,0.49115,0.29292,0.67865,0.38927,0.46415,0.22275,1.40707,2.3594,0.77195,0.94392,0.000989267,0.000989267,0.000989267
